Date,Open,High,Low,Close,Adj Close,Volume
12/18/2018,38300,39200,38300,38900,34747.81641,11042101
12/19/2018,38900,39350,38850,39100,34926.46875,9942037
12/20/2018,38600,39100,38500,38650,34524.49609,11937617
12/21/2018,38200,38650,38100,38650,34524.49609,14947080
12/24/2018,38500,39050,38300,38800,34658.49219,9729530
12/26/2018,38400,38750,38300,38350,34256.51953,12707675
12/27/2018,38700,38800,38100,38250,34485.52734,10510643
12/28/2018,38250,38900,38200,38700,34891.23828,9900267
1/2/2019,39400,39400,38550,38750,34936.32031,7847664
1/3/2019,38300,38550,37450,37600,33899.49609,12471493
1/4/2019,37450,37600,36850,37450,33764.25391,14108958
1/7/2019,38000,38900,37800,38750,34936.32031,12748997
1/8/2019,38000,39200,37950,38100,34350.28125,12756554
1/9/2019,38650,39600,38300,39600,35702.66406,17452708
1/10/2019,40000,40150,39600,39800,35882.97656,14731699
1/11/2019,40350,40550,39950,40500,36514.08594,11661063
1/14/2019,40450,40700,39850,40050,36108.375,11984996
1/15/2019,40050,41100,39850,41100,37055.03906,11492756
1/16/2019,41150,41450,40700,41450,37370.59375,8491595
1/17/2019,41700,42100,41450,41950,37821.37891,11736903
1/18/2019,42000,42400,41950,42300,38136.92969,11029256
1/21/2019,42700,42750,41900,42750,38542.64063,11355701
1/22/2019,42750,42850,41850,42150,38001.69531,9964356
1/23/2019,41350,42250,41350,42000,37866.46484,11071079
1/24/2019,43050,43100,42350,43050,38813.125,14747623
1/25/2019,44300,44750,43750,44750,40345.8125,22789395
1/28/2019,45000,45500,44600,45050,40616.28516,17998914
1/29/2019,45050,45500,44350,45500,41022,16215017
1/30/2019,44800,46400,44800,46400,41833.42578,17505980
1/31/2019,46650,47050,46150,46150,41608.02734,21621145
2/1/2019,46650,46950,46250,46350,41788.34375,13832454
2/7/2019,46800,47100,46200,46200,41653.10547,15872001
2/8/2019,45700,45700,44650,44800,40390.89063,12689196
2/11/2019,44500,45000,44250,45000,40571.20313,11125044
2/12/2019,44650,46250,44650,46050,41517.86719,13184367
2/13/2019,46400,46700,46000,46200,41653.10547,11299738
2/14/2019,46600,47500,46150,47500,42825.17188,17259341
2/15/2019,46750,46850,45650,46050,41517.86719,10554643
2/18/2019,46500,46850,45850,46200,41653.10547,8183728
2/19/2019,45850,46150,45450,45950,41427.70313,6741395
2/20/2019,46750,47100,46500,46900,42284.20703,11506720
2/21/2019,46500,47200,46200,46950,42329.28125,8694009
2/22/2019,46500,47150,46450,47150,42509.61328,6895772
2/25/2019,47400,47550,47050,47350,42689.92969,7484716
2/26/2019,47350,47450,46500,46750,42148.98047,7985547
2/27/2019,47000,47250,46750,46750,42148.98047,8045211
2/28/2019,46400,46500,45100,45100,40661.36328,23569321
3/4/2019,46000,46100,44800,44850,40435.96875,12926539
3/5/2019,44600,45100,44150,44250,39895.01953,10612405
3/6/2019,44000,44300,43700,44000,39669.625,10202544
3/7/2019,43400,44950,43400,44450,40075.33594,11049749
3/8/2019,44450,44800,43800,43800,39489.3125,7729069
3/11/2019,44400,44450,43650,43650,39354.07422,10717408
3/12/2019,44300,44950,44150,44650,40255.65234,11431977
3/13/2019,44250,44450,43700,43850,39534.39063,8108343
3/14/2019,43700,44300,43550,43850,39534.39063,18039161
3/15/2019,43800,44250,43700,44200,39849.9375,16814163
3/18/2019,43950,44150,43450,43700,39399.14844,8188876
3/19/2019,43750,43900,43550,43900,39579.46875,7609563
3/20/2019,43800,44200,43100,44050,39714.69922,9846242
3/21/2019,44600,46250,44050,45850,41337.55469,21138016
3/22/2019,46850,47000,46250,46550,41968.66406,12535911
3/25/2019,45300,45650,44800,45500,41022,8699728
3/26/2019,45500,45700,44900,45250,40796.60156,9729811
3/27/2019,44750,45600,44250,45350,40886.76172,9568081
